product_id,product_title,cat_slugs,origin_slugs,brand_slugs,ingredient_slugs,concerns_assigned,confidence,skip_reason,notes
2655,innisfree Apple seed cleansing oil 150ml,"makeup-cosmetics,korean-beauty,makeup-remover",south-korea,innisfree,,SKIP,LOW,,L4:skincare-fallback
2693,COSRX AC Collection Ultimate Spot Cream 30g,"korean-beauty,spot-treatment",south-korea,cosrx,,acne-blemish,MED,,"L3:""spot cream""→acne-blemish"
2731,SKINFOOD Rice Wash-Off Face Mask 100g,korean-beauty,south-korea,skinfood,,SKIP,LOW,,L4:skincare-fallback
2738,MIZON Snail Recovery Gel Cream 45g,korean-beauty,south-korea,mizon,,SKIP,LOW,,L4:skincare-fallback
2779,Innisfree The Green Tea Seed Serum 80ml,"korean-beauty,serums-ampoules-essences",south-korea,innisfree,tea-tree,acne-blemish,MED,,L2:tea-tree→acne-blemish
2857,Innisfree My Real Squeeze Mask - Rose 20ml,korean-beauty,south-korea,innisfree,,SKIP,LOW,,L4:skincare-fallback
2858,Innisfree My Real Squeeze Mask - Tomato 20ml,korean-beauty,south-korea,innisfree,,SKIP,LOW,,L4:skincare-fallback
2859,Innisfree My Real Squeeze Mask - Lime 20ml,korean-beauty,south-korea,innisfree,,SKIP,LOW,,L4:skincare-fallback
2884,Innisfree The Green Tea Seed Eye Cream 30ml,"eye-care,korean-beauty",south-korea,innisfree,tea-tree,acne-blemish,MED,,L2:tea-tree→acne-blemish
2885,Innisfree My Real Squeeze Mask - Acai Berry 20ml,korean-beauty,south-korea,innisfree,,SKIP,LOW,,L4:skincare-fallback
2888,Innisfree My Real Squeeze Mask-Aloe 20ml,korean-beauty,south-korea,innisfree,,SKIP,LOW,,L4:skincare-fallback
2890,Innisfree My Real Squeeze Mask - Fig 20ml,korean-beauty,south-korea,innisfree,,SKIP,LOW,,L4:skincare-fallback
2915,Jeju Cherry Blossom Jam Cleanser 150gm,korean-beauty,south-korea,jeju-cherry,,SKIP,LOW,,L4:skincare-fallback
3007,PURITO Sea Buckthorn Vital 70 Cream,korean-beauty,south-korea,purito,,SKIP,LOW,,L4:skincare-fallback
3016,Missha Airy Fit Sheet Mask (Potato),"face-masks,korean-beauty",south-korea,missha,,SKIP,LOW,,L4:skincare-fallback
3060,Missha Airy Fit Sheet Mask (Pearl),"face-masks,korean-beauty",south-korea,missha,,SKIP,LOW,,L4:skincare-fallback
3061,Missha Airy Fit Sheet Mask (Shea Butter),"face-masks,korean-beauty",south-korea,missha,,SKIP,LOW,,L4:skincare-fallback
3067,Nacific Real Floral Rose Toner 180ml,"korean-beauty,toners-mists,hair-personal-care,personal-hygiene",south-korea,nacific,,SKIP,LOW,,L4:skincare-fallback
3071,Nacific Fresh Herb Origin Serum,"korean-beauty,serums-ampoules-essences",south-korea,nacific,,SKIP,LOW,,L4:skincare-fallback
