brand,product_id,product_title,current_pa_origin,proposed_pa_origin,current_custom_origin,proposed_custom_origin,actions,reasons,has_structured_description,structured_description_would_change,faq_would_change
&amp;Honey,74512,"&#038;Honey Ex Deep Moist Hair Oil 100ml",japan,japan,Korea,Japan,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_japan,yes,yes,yes
&amp;Honey,74514,"&#038; Honey Deep Moist Hair Oil 3.0 100ml",japan,japan,Korea,Japan,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_japan,yes,yes,yes
&amp;Honey,74516,"&#038;Honey Melty Moist Repair Hair Treatment Oil 100ml",japan,japan,Korea,Japan,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_japan,yes,yes,yes
"Absolute New York",74048,"Absolute New York Click Cover Concealer MFCC14 CC Green",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
Anua,59677,"Anua Retinol 0.3% + Niacin Renewing Serum 30ml",south-korea,south-korea,USA,"South Korea",sync_custom_origin|sync_structured_description|sync_faq,custom_origin_usa_vs_south-korea,yes,yes,yes
Anua,59929,"Anua Azelaic Acid 10 Hyaluron Redness Soothing Serum 30ml",south-korea,south-korea,USA,"South Korea",sync_custom_origin|sync_structured_description|sync_faq,custom_origin_usa_vs_south-korea,yes,yes,yes
Astral,36244,"Astral Original Face &#038; Body Moisturiser Shea Butter 200ml",uk,uk,Korea,UK,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_uk,yes,yes,yes
Astral,36247,"Astral Cream Cocoa Butter Face And Body Moisturiser 200ml",uk,uk,Korea,UK,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_uk,yes,yes,yes
Athena,32647,"Athena Beauty Cosmetic Pads 120pcs",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Athena,36250,"Athena Beaute 100% Cotton Wool Cosmetic Pads 80pcs",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Athena,36262,"Athena Cotton Wool Pleat 130ge",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Athena,36265,"Athena Beaute Cotton Wool Balls 100pcs",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Athena,62318,"Athena Beaute Cotton Wool Cosmetic Pad (80 pcs)",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Aveeno,37980,"Beauty Formulas Vitamin E Hair Removal Wax Strips For Legs &#038; Body 20pc",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Aveeno,37992,"Nair Hair Remover Body 20 Wax Strips",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Aveeno,38003,"Nair Facial Wax Strips, Pack of 12",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Avene,63915,"Paula&#8217;s Choice Weightless Advanced Repairing Toner 118 ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
Avene,63917,"Paula&#8217;s Choice Advanced Replenishing Toner 118ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
"Aztec Secret",74100,"Aztec Secret Indian Healing Clay",usa,usa,Korea,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_usa,yes,yes,yes
BIOAQUA,74102,"BIOAQUA Blueberry Moisturizing Facial Mask 25g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
BIOAQUA,74104,"BIOAQUA Rice Raw Pulp Facial Mask Sheet 25g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
BIOAQUA,74106,"BIOAQUA Aloe Vera Moisturizing Facial Mask 25g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
BIOAQUA,74108,"BIOAQUA Cucumber Moisture Mud Mask 8g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
BIOAQUA,74110,"BIOAQUA Lavender Relieve Facial Mask 25g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
BIOAQUA,74112,"BIOAQUA Green Tea Moisturizing Facial Mask 25g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
BIOAQUA,74114,"BIOAQUA Freshen Orange Vitamin C Brighten Facial Mask 25g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
BIOAQUA,74116,"BIOAQUA Rose Essence Brighten Skin Facial Mask 25g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
BIOAQUA,74118,"BIOAQUA Rice Raw Pulp Hydrate Whitening Ice Facial Mask Sheet 25g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
BIOAQUA,74120,"Bioaqua Honey Moisturizing Sheet Mask 25g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
BIOAQUA,74122,"Bioaqua Avocado Moisturizing Sheet Mask 25g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
BIOAQUA,74124,"Bioaqua Red Pomegranate Moisturizing Sheet Mask 25g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
